index,dsp time,sfn,TX PWR value,Adjustment value
0,10981.696676646,9712,-90,0
1,10981.721660339,9737,-90,0
2,10981.756681841,9772,-90,0
3,10981.761654629,9777,-90,0
4,10981.781683384,9797,-90,0
5,10981.801649537,9817,-90,0
6,10981.821728189,9837,-90,0
7,10981.841666255,9857,-90,0
8,10981.861682664,9877,-91,0
9,10981.931709516,9947,-91,-1
10,10981.981683230,9997,-92,-1
11,10982.001681018,10017,-92,-2
12,10982.021700360,10037,-92,-2
13,10982.026690483,10042,-92,-2
14,10982.041645781,10057,-90,0
15,10982.061719650,10077,-91,0
16,10982.081682253,10097,-91,-1
17,10982.101689814,10117,-92,-1
18,10982.171695884,10187,-91,-2
19,10982.176692489,10192,-93,-2
20,10982.201667798,10217,-93,-3
21,10982.221711882,10237,-93,-3
22,10982.251733539,27,-93,-3
23,10982.331743415,107,-90,-3
24,10982.411732510,187,-93,-3
25,10982.491668158,267,-90,-3
26,10982.571712191,347,-93,-3
27,10982.651703806,427,-90,-3
28,10982.731696656,507,-93,-3
29,10982.811701337,587,-90,-3
30,10982.891672119,667,-93,-3
31,10982.971683744,747,-90,-3
32,10983.051722170,827,-93,-3
33,10983.131702160,907,-90,-3
34,10983.211691872,987,-93,-3
35,10983.291715946,1067,-90,-3
36,10983.371706121,1147,-93,-3
37,10983.451675771,1227,-90,-3
38,10983.531698816,1307,-93,-3
39,10983.611706430,1387,-90,-3
40,10983.691685596,1467,-93,-3
41,10983.701715072,1477,-94,-3
42,10983.721656635,1497,-92,-2
43,10983.741731224,1517,-93,-2
44,10983.771706018,1547,-93,-3
45,10983.851692746,1627,-93,-3
46,10983.921680349,1697,-93,-3
47,10983.941741358,1717,-94,-3
48,10983.976692798,1752,-95,-4
49,10984.001683179,1777,-95,-5
50,10984.021715226,1797,-95,-5
51,10984.036719238,1812,-95,-5
52,10984.041696810,1817,-95,-5
53,10984.071722582,1847,-96,-5
54,10984.076701131,1852,-96,-6
55,10984.081665689,1857,-96,-6
56,10984.116721090,1892,-97,-6
57,10984.121742489,1897,-96,-7
58,10984.156741255,1932,-98,-7
59,10984.161684927,1937,-98,-8
60,10984.201670421,1977,-98,-8
61,10984.216700514,1992,-98,-8
62,10984.221719547,1997,-98,-8
63,10984.241709670,2017,-98,-8
64,10984.271708384,2047,-98,-8
65,10984.276700874,2052,-98,-9
66,10984.281683744,2057,-99,-9
67,10984.316699639,2092,-99,-9
68,10984.321722427,2097,-99,-10
69,10984.356724176,2132,-100,-10
70,10984.361703703,2137,-101,-11
71,10984.396690637,2172,-101,-11
72,10984.401683899,2177,-102,-12
73,10984.421722016,2197,-102,-12
74,10984.436737345,2212,-102,-12
75,10984.441681893,2217,-103,-13
76,10984.471710493,2247,-103,-13
77,10984.476708847,2252,-103,-13
78,10984.491710185,2267,-104,-14
79,10984.521700257,2297,-104,-14
80,10984.541730041,2317,-105,-14
81,10984.556740329,2332,-104,-15
82,10984.561683076,2337,-105,-15
83,10984.591714094,2367,-106,-15
84,10984.596718827,2372,-105,-16
85,10984.601746039,2377,-105,-16
86,10984.641698919,2417,-106,-16
87,10984.661763323,2437,-107,-16
88,10984.676726286,2452,-106,-17
89,10984.681729629,2457,-106,-17
90,10984.711733127,2487,-108,-17
91,10984.716752829,2492,-107,-18
92,10984.721743004,2497,-107,-18
93,10984.726760185,2502,-107,-18
94,10984.731744444,2507,-108,-18
95,10984.761704372,2537,-108,-18
96,10984.796704783,2572,-108,-18
97,10984.801728806,2577,-108,-19
98,10984.806740432,2582,-108,-19
99,10984.811743981,2587,-109,-19
100,10984.816739043,2592,-108,-19
101,10984.841702880,2617,-109,-19
102,10984.886777623,2662,-108,-19
103,10984.891718106,2667,-109,-19
104,10984.896728549,2672,-108,-19
105,10984.901751594,2677,-108,-19
106,10984.906736059,2682,-108,-19
107,10984.921702006,2697,-109,-19
108,10984.961759619,2737,-109,-19
109,10984.966745267,2742,-110,-20
110,10984.976712139,2752,-110,-21
111,10984.981741306,2757,-110,-21
112,10984.986730555,2762,-110,-21
113,10985.001743878,2777,-110,-21
114,10985.036731121,2812,-111,-21
115,10985.041754269,2817,-111,-22
116,10985.046716718,2822,-111,-22
117,10985.051748456,2827,-112,-22
118,10985.056705246,2832,-111,-22
119,10985.061723508,2837,-112,-22
120,10985.081707561,2857,-112,-22
121,10985.111747119,2887,-113,-22
122,10985.121778292,2897,-113,-23
123,10985.126767644,2902,-113,-24
124,10985.136740174,2912,-113,-24
125,10985.146744135,2922,-114,-24
126,10985.156706069,2932,-113,-24
127,10985.166730298,2942,-114,-24
128,10985.171749537,2947,-115,-25
129,10985.181768158,2957,-114,-25
130,10985.186728652,2962,-114,-25
131,10985.191741306,2967,-114,-25
132,10985.196734773,2972,-114,-25
133,10985.201702211,2977,-115,-25
134,10985.231750668,3007,-112,-25
135,10985.236713425,3012,-111,-22
136,10985.241744495,3017,-112,-22
137,10985.246748559,3022,-111,-22
138,10985.251736059,3027,-111,-22
139,10985.256738374,3032,-111,-22
140,10985.261777623,3037,-111,-22
141,10985.266750720,3042,-108,-22
142,10985.271775411,3047,-108,-19
143,10985.281691409,3057,-109,-19
144,10985.311732253,3087,-109,-19
145,10985.316764866,3092,-107,-19
146,10985.321754320,3097,-107,-18
147,10985.326740020,3102,-107,-18
148,10985.336707973,3112,-107,-18
149,10985.356765895,3132,-107,-18
150,10985.361772788,3137,-107,-18
151,10985.396719444,3172,-106,-18
152,10985.401718004,3177,-106,-17
153,10985.406777314,3182,-106,-17
154,10985.411765380,3187,-106,-17
