index,dsp time,sfn,Adjustment value
0,10981.696675154,9712,0
1,10981.721658950,9737,0
2,10981.756680658,9772,0
3,10981.761653137,9777,0
4,10981.781682201,9797,0
5,10981.801648199,9817,0
6,10981.821726851,9837,0
7,10981.841664866,9857,0
8,10981.861680967,9877,0
9,10981.931708127,9947,-1
10,10981.981681790,9997,-1
11,10982.001679629,10017,-2
12,10982.021698971,10037,-2
13,10982.026688940,10042,-2
14,10982.041644444,10057,0
15,10982.061718312,10077,0
16,10982.081680761,10097,-1
17,10982.101688631,10117,-1
18,10982.171694598,10187,-2
19,10982.176691152,10192,-2
20,10982.201666460,10217,-3
21,10982.221710493,10237,-3
22,10982.251732150,27,-3
23,10982.331742078,107,-3
24,10982.411731172,187,-3
25,10982.491666769,267,-3
26,10982.571710802,347,-3
27,10982.651702417,427,-3
28,10982.731694907,507,-3
29,10982.811699948,587,-3
30,10982.891670781,667,-3
31,10982.971682304,747,-3
32,10983.051720781,827,-3
33,10983.131700823,907,-3
34,10983.211690483,987,-3
35,10983.291714146,1067,-3
36,10983.371704732,1147,-3
37,10983.451674382,1227,-3
38,10983.531697119,1307,-3
39,10983.611705041,1387,-3
40,10983.691684207,1467,-3
41,10983.701713888,1477,-3
42,10983.721655298,1497,-2
43,10983.741729886,1517,-2
44,10983.771704372,1547,-3
45,10983.851691409,1627,-3
46,10983.921675102,1697,-3
47,10983.941740072,1717,-3
48,10983.976691615,1752,-4
49,10984.001681327,1777,-5
50,10984.021714043,1797,-5
51,10984.036717952,1812,-5
52,10984.041694907,1817,-5
53,10984.071721399,1847,-5
54,10984.076699794,1852,-6
55,10984.081663991,1857,-6
56,10984.116719804,1892,-6
57,10984.121741100,1897,-7
58,10984.156740072,1932,-7
59,10984.161683641,1937,-8
60,10984.201669135,1977,-8
61,10984.216699228,1992,-8
62,10984.221718209,1997,-8
63,10984.241708024,2017,-8
64,10984.271707098,2047,-8
65,10984.276699331,2052,-9
66,10984.281682355,2057,-9
67,10984.316698353,2092,-9
68,10984.321721090,2097,-10
69,10984.356722993,2132,-10
70,10984.361702314,2137,-11
71,10984.396689248,2172,-11
72,10984.401681944,2177,-12
73,10984.421720833,2197,-12
74,10984.436736008,2212,-12
75,10984.441680504,2217,-13
76,10984.471708950,2247,-13
77,10984.476707664,2252,-13
78,10984.491708744,2267,-14
79,10984.521698919,2297,-14
80,10984.541728909,2317,-14
81,10984.556739146,2332,-15
82,10984.561681738,2337,-15
83,10984.591712911,2367,-15
84,10984.596717644,2372,-16
85,10984.601744855,2377,-16
86,10984.641697582,2417,-16
