index,dsp time,sfn,TX PWR value
0,10981.696676646,9712,-90
1,10981.721660339,9737,-90
2,10981.756681841,9772,-90
3,10981.761654629,9777,-90
4,10981.781683384,9797,-90
5,10981.801649537,9817,-90
6,10981.821728189,9837,-90
7,10981.841666255,9857,-90
8,10981.861682664,9877,-91
9,10981.931709516,9947,-91
10,10981.981683230,9997,-92
11,10982.001681018,10017,-92
12,10982.021700360,10037,-92
13,10982.026690483,10042,-92
14,10982.041645781,10057,-90
15,10982.061719650,10077,-91
16,10982.081682253,10097,-91
17,10982.101689814,10117,-92
18,10982.171695884,10187,-91
19,10982.176692489,10192,-93
20,10982.201667798,10217,-93
21,10982.221711882,10237,-93
22,10982.251733539,27,-93
23,10982.331743415,107,-90
24,10982.411732510,187,-93
25,10982.491668158,267,-90
26,10982.571712191,347,-93
27,10982.651703806,427,-90
28,10982.731696656,507,-93
29,10982.811701337,587,-90
30,10982.891672119,667,-93
31,10982.971683744,747,-90
32,10983.051722170,827,-93
33,10983.131702160,907,-90
34,10983.211691872,987,-93
35,10983.291715946,1067,-90
36,10983.371706121,1147,-93
37,10983.451675771,1227,-90
38,10983.531698816,1307,-93
39,10983.611706430,1387,-90
40,10983.691685596,1467,-93
41,10983.701715072,1477,-94
42,10983.721656635,1497,-92
43,10983.741731224,1517,-93
44,10983.771706018,1547,-93
45,10983.851692746,1627,-93
46,10983.921680349,1697,-93
47,10983.941741358,1717,-94
48,10983.976692798,1752,-95
49,10984.001683179,1777,-95
50,10984.021715226,1797,-95
51,10984.036719238,1812,-95
52,10984.041696810,1817,-95
53,10984.071722582,1847,-96
54,10984.076701131,1852,-96
55,10984.081665689,1857,-96
56,10984.116721090,1892,-97
57,10984.121742489,1897,-96
58,10984.156741255,1932,-98
59,10984.161684927,1937,-98
60,10984.201670421,1977,-98
61,10984.216700514,1992,-98
62,10984.221719547,1997,-98
63,10984.241709670,2017,-98
64,10984.271708384,2047,-98
65,10984.276700874,2052,-98
66,10984.281683744,2057,-99
67,10984.316699639,2092,-99
68,10984.321722427,2097,-99
69,10984.356724176,2132,-100
70,10984.361703703,2137,-101
71,10984.396690637,2172,-101
72,10984.401683899,2177,-102
73,10984.421722016,2197,-102
74,10984.436737345,2212,-102
75,10984.441681893,2217,-103
76,10984.471710493,2247,-103
77,10984.476708847,2252,-103
78,10984.491710185,2267,-104
79,10984.521700257,2297,-104
80,10984.541730041,2317,-105
81,10984.556740329,2332,-104
82,10984.561683076,2337,-105
83,10984.591714094,2367,-106
84,10984.596718827,2372,-105
85,10984.601746039,2377,-105
86,10984.641698919,2417,-106
87,10984.661763323,2437,-107
88,10984.676726286,2452,-106
89,10984.681729629,2457,-106
90,10984.711733127,2487,-108
91,10984.716752829,2492,-107
92,10984.721743004,2497,-107
93,10984.726760185,2502,-107
94,10984.731744444,2507,-108
95,10984.761704372,2537,-108
96,10984.796704783,2572,-108
97,10984.801728806,2577,-108
98,10984.806740432,2582,-108
99,10984.811743981,2587,-109
100,10984.816739043,2592,-108
101,10984.841702880,2617,-109
102,10984.886777623,2662,-108
103,10984.891718106,2667,-109
104,10984.896728549,2672,-108
105,10984.901751594,2677,-108
106,10984.906736059,2682,-108
107,10984.921702006,2697,-109
108,10984.961759619,2737,-109
109,10984.966745267,2742,-110
110,10984.976712139,2752,-110
111,10984.981741306,2757,-110
112,10984.986730555,2762,-110
113,10985.001743878,2777,-110
114,10985.036731121,2812,-111
115,10985.041754269,2817,-111
116,10985.046716718,2822,-111
117,10985.051748456,2827,-112
118,10985.056705246,2832,-111
119,10985.061723508,2837,-112
120,10985.081707561,2857,-112
121,10985.111747119,2887,-113
122,10985.121778292,2897,-113
123,10985.126767644,2902,-113
124,10985.136740174,2912,-113
125,10985.146744135,2922,-114
126,10985.156706069,2932,-113
127,10985.166730298,2942,-114
128,10985.171749537,2947,-115
129,10985.181768158,2957,-114
130,10985.186728652,2962,-114
131,10985.191741306,2967,-114
132,10985.196734773,2972,-114
133,10985.201702211,2977,-115
134,10985.231750668,3007,-112
135,10985.236713425,3012,-111
136,10985.241744495,3017,-112
137,10985.246748559,3022,-111
138,10985.251736059,3027,-111
139,10985.256738374,3032,-111
140,10985.261777623,3037,-111
141,10985.266750720,3042,-108
142,10985.271775411,3047,-108
143,10985.281691409,3057,-109
144,10985.311732253,3087,-109
145,10985.316764866,3092,-107
146,10985.321754320,3097,-107
147,10985.326740020,3102,-107
148,10985.336707973,3112,-107
149,10985.356765895,3132,-107
150,10985.361772788,3137,-107
151,10985.396719444,3172,-106
152,10985.401718004,3177,-106
153,10985.406777314,3182,-106
154,10985.411765380,3187,-106
155,10985.416709259,3192,-106
156,10985.441712911,3217,-107
157,10985.471793827,3247,-108
158,10985.476712808,3252,-107
159,10985.481739197,3257,-107
160,10985.486729681,3262,-107
161,10985.491733230,3267,-107
162,10985.496733281,3272,-107
163,10985.521689866,3297,-108
164,10985.551736111,3327,-109
165,10985.556727674,3332,-108
166,10985.561739711,3337,-108
167,10985.566755092,3342,-108
168,10985.601745010,3377,-109
169,10985.611725102,3387,-110
170,10985.616710082,3392,-109
171,10985.621729732,3397,-109
172,10985.641690534,3417,-110
173,10985.671700411,3447,-111
174,10985.676736728,3452,-111
175,10985.681775411,3457,-111
176,10985.686746450,3462,-111
177,10985.691724176,3467,-112
178,10985.721693158,3497,-112
179,10985.751754012,3527,-113
180,10985.756711316,3532,-112
181,10985.761710082,3537,-112
182,10985.766748045,3542,-112
183,10985.796751491,3572,-113
184,10985.801770473,3577,-113
185,10985.806738220,3582,-113
186,10985.816737191,3592,-113
187,10985.821729989,3597,-113
188,10985.826729012,3602,-112
189,10985.831744135,3607,-112
190,10985.841690997,3617,-113
191,10985.871796039,3647,-113
192,10985.876718672,3652,-111
193,10985.881733281,3657,-111
194,10985.886734876,3662,-111
195,10985.891730606,3667,-111
196,10985.896741563,3672,-111
197,10985.921736008,3697,-112
198,10985.951744238,3727,-111
199,10985.961758230,3737,-110
200,10985.966775308,3742,-110
201,10985.971725874,3747,-110
202,10985.976748662,3752,-110
203,10985.981730504,3757,-110
204,10986.001690072,3777,-111
205,10986.031741203,3807,-110
206,10986.036782510,3812,-108
207,10986.041755761,3817,-108
208,10986.046753292,3822,-108
209,10986.051709825,3827,-108
210,10986.056750051,3832,-108
211,10986.081717901,3857,-109
212,10986.111733641,3887,-108
213,10986.116732767,3892,-107
214,10986.121707304,3897,-107
215,10986.126747839,3902,-107
216,10986.156728858,3932,-108
217,10986.161758384,3937,-108
218,10986.201747479,3977,-109
219,10986.206755298,3982,-109
220,10986.211749897,3987,-109
221,10986.216724176,3992,-109
222,10986.221718364,3997,-109
223,10986.241662551,4017,-110
224,10986.271738683,4047,-111
225,10986.276708487,4052,-110
226,10986.281729012,4057,-110
227,10986.286725823,4062,-110
228,10986.321771656,4097,-111
229,10986.356717335,4132,-112
